county,eat5plusveg,noeat5plusveg,always_availableveg,usually_availableveg,sometimes_availableveg,never_availableveg,doesn’t_eat_veg,underweight,normalweight,overweight,obese,diabetes,never_diabetes,always_affordveg,usually_affordveg,sometimes_affordveg,never_affordveg,population,income 5000_or_less,income 5001_to_10000,income 10001_to_15000,income 15001_to_20000,income 20001_to_30000,income 30001_to_40000,income 40001_to_50000,income 50001_to_60000,income 60001_to_70000,income 70001_to_80000,income 80001_to_90000,income 90001_to_100000,income 100001_to_135000,income 135000_above,Currently receiving food stamps,Currently not receiving food stamps,Has been Diagnosed with Heart Disease ,Has been Diagnosed with Heart Disease,Population,Latino,White,Black,American_Indian/Alaska_Native,Asian,Native_Hawaiian/Pacific_Islander,Mixed
mendocino,57.5,42.5,78.9,9.4,7.0,3.0,1.7,2,37.6,34.1,26.3,8.0,92.0,46.6,27.8,22.8,2.8,65000.0,2.6,4.4,7.2,6.8,11.9,11.0,8.5,7.3,7.9,6.2,3.8,5.2,6.9,10.3,25.7,74.3,8.1%,91.9%,"69,000",19.1,72.2,,3.1,2.6,,2.4
merced,52.1,47.9,72.7,12.7,9.0,4.5,1.0,1.1,29.7,33.3,35.8,11.9,88.1,40.1,31.9,25.2,2.7*,166000.0,4.5,6.1,7.1,9.4,15.3,12.2,10.9,6.3,3.5,5.9,3.5,3.8,5.1,6.6,33.1,66.9,6.7%,93.3%,"185,000",53.7,33.5,2.7,0.4*,7.6,,2.0
monterey,54.9,45.1,78.4,9.7,7.8,3.7,0.4,1.9,32.2,36.1,29.8,9.6,90.4,51.7,26.5,20.9,0.9*,284000.0,4.4,3.6,5.5,6.2,11.4,10.0,7.6,6.3,6.3,6.1,4.3,5.4,7.3,15.4,25.8,74.2,6.9%,93.1%,"300,000",54.8,34.8,1.8,0.4,5.9,0.2,2.1
napa,51.8,48.2,81.2,9.3,5.4,3.3,0.7,1.8,36.4,34.5,27.3,8.7,91.3,52.9,29.5,16.8,0.8*,99000.0,3.4,2.6,2.9,3.5,8.5,6.3,7.6,7.1,4.6,5.7,4.8,8.3,12.2,22.5,6.6,93.4,8.0%,92.0%,"103,000",32.3,56.3,0.9*,,6.4,1.2*,2.7
nevada,55.9,44.1,79.7,8.6,5.7,4.8,1.3,1.3,47.0,34.4,17.4,5.3,94.7,53.0,30.0,15.2,1.7*,76000.0,3.1,2.9,4.5,5.2*,9.6,9.7,7.9,7.0,6.0,6.5,5.0,6.8,9.2,16.8,29.4,70.6,9.2%,90.8%,"80,000",9.8,85.2,,1.0*,1,,2.5
orange,46.9,53.1,79.8,9.7,6.8,2.8,0.9,2.5,41.8,33.3,22.4,8.3,91.7,51.8,30.2,17.0,1,2287000.0,3.3,2.8,4.4,4.8,9.1,7.2,7.3,5.9,4.9,6.5,4.4,6.5,9.3,23.6,26.1,73.9,6.2%,93.8%,"2,391,000",32.4,44.5,1.7,0.2,19.2,0.3,1.8
placer,48.8,51.2,80.6,7.3,8.0,3.6,0.5,1.4,37.1,36.8,24.6,7.5,92.5,57.0,28.3,13.8,0.8*,276000.0,1.5,1.8,2.5,2.5,7.2,7.9,8.1,7.0,4.8,6.7,4.1,7.9,12.0,25.8,19.7,80.3,8.1%,91.9%,"299,000",13.2,76.5,1.3,0.6,5.6,0.6*,2.3
riverside,48.5,51.5,75.7,10.8,8.6,4.3,0.6,1.8,31.4,35.6,31.2,10.7,89.3,47.3,30.3,21.3,1.1,1587000.0,4.3,3.7,5.4,6.7,12.0,9.0,7.4,7.4,6.2,6.3,3.7,5.2,8.7,14.1,23.7,76.3,7.0%,93.0%,"1,725,000",43.7,41.4,6,0.6,5.8,0.4,2.2
sacramento,45.8,54.2,78.6,9.6,7.9,3.1,0.9,2,35.8,32.8,29.4,10.2,89.8,51.3,29.3,18.7,0.6,1048000.0,4.1,3.9,5.6,4.2,10.1,8.2,7.9,6.6,5.5,7.2,5.2,5.7,9.1,16.6,,,7.1%,92.9%,"1,121,000",20.3,49.9,9.5,0.6,15.2,0.9,3.6
sanbenito,48.7,51.3,76.1,10.9,7.3,4.9,,,27.9,37.7,33.6,12.2,87.8,47.1,28.4,23.6,,39000.0,3.7,3.2,4.6,4.2,10.4,9.6,8.6,6.8,4.8,6.4,5.1,7.2,8.7,16.8,19.6,80.4,7.5%,92.5%,"43,000",54.0,39.8,,,3.4,,1.6
sanbernardino,48.3,51.7,75.0,10.2,8.9,5.4,0.5,1.6,28.7,36.3,33.4,12.6,87.4,46.0,30.5,21.9,1.7,1406000.0,4.0,4.2,6.8,5.9,11.6,10.5,7.3,7.0,5.8,6.5,4.1,5.6,8.2,12.5,30.5,69.5,6.7%,93.3%,"1,523,000",48.1,34.2,7.6,0.4,7.6,0.2,1.8
